timestamp,latitude,longitude,location_name,temperature_c,humidity_pct,pressure_hpa,solar_radiation_wm2,wind_speed_ms,wind_direction_deg,cloud_cover_pct,precipitation_mm,solar_radiation_source,data_source,quality,quality_reason
2026-09-13T00:00:00+00:00,34.1526,77.5771,Ladakh,0.86,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T01:00:00+00:00,34.1526,77.5771,Ladakh,2.77,32.09,650.69,9.7,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T02:00:00+00:00,34.1526,77.5771,Ladakh,3.96,32.09,650.69,162.71,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T03:00:00+00:00,34.1526,77.5771,Ladakh,4.37,32.09,650.69,357.32,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T04:00:00+00:00,34.1526,77.5771,Ladakh,3.96,32.09,650.69,536.72,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T05:00:00+00:00,34.1526,77.5771,Ladakh,2.77,32.09,650.69,676.21,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T06:00:00+00:00,34.1526,77.5771,Ladakh,0.86,32.09,650.69,760.8,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T07:00:00+00:00,34.1526,77.5771,Ladakh,-1.63,32.09,650.69,782.27,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T08:00:00+00:00,34.1526,77.5771,Ladakh,-4.52,32.09,650.69,738.57,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T09:00:00+00:00,34.1526,77.5771,Ladakh,-7.63,32.09,650.69,633.87,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T10:00:00+00:00,34.1526,77.5771,Ladakh,-10.73,32.09,650.69,478.59,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T11:00:00+00:00,34.1526,77.5771,Ladakh,-13.63,32.09,650.69,290.46,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T12:00:00+00:00,34.1526,77.5771,Ladakh,-16.11,32.09,650.69,100.03,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T13:00:00+00:00,34.1526,77.5771,Ladakh,-18.02,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T14:00:00+00:00,34.1526,77.5771,Ladakh,-19.22,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T15:00:00+00:00,34.1526,77.5771,Ladakh,-19.63,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T16:00:00+00:00,34.1526,77.5771,Ladakh,-19.22,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T17:00:00+00:00,34.1526,77.5771,Ladakh,-18.02,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T18:00:00+00:00,34.1526,77.5771,Ladakh,-16.11,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T19:00:00+00:00,34.1526,77.5771,Ladakh,-13.63,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T20:00:00+00:00,34.1526,77.5771,Ladakh,-10.73,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T21:00:00+00:00,34.1526,77.5771,Ladakh,-7.63,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T22:00:00+00:00,34.1526,77.5771,Ladakh,-4.52,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
2026-09-13T23:00:00+00:00,34.1526,77.5771,Ladakh,-1.63,32.09,650.69,0.0,4.13,138.4,12.7,0.0,MEASURED,MEASURED,VALID,
